travel_id,travel_dt,travel_distance,actual_amount,MilesByState,adjusted_amount
722887-202602-6-10996302-249260-20260123,1/23/2026,57.96,17.39,57.95321444934703,24.589800395690933
722887-202603-6-10989500-234105-20260116,1/16/2026,377.87,264.51,371.3687549959689,111.41062649879068
